Player name ,HR,RBI,BB,K,AVG,OBP,SLG
Michael Young,0.018,0.118,0.066,0.132,0.295,0.339,0.421
Miguel Cabrera,0.058,0.189,0.132,0.14,0.338,0.426,0.613
Miguel Montero,0.027,0.134,0.102,0.212,0.266,0.348,0.422
Mike Aviles,0.022,0.104,0.042,0.124,0.265,0.297,0.393
Mike Napoli,0.053,0.15,0.119,0.273,0.261,0.358,0.513
Nate McLouth,0.019,0.064,0.108,0.178,0.229,0.321,0.359
Nate Schierholtz,0.028,0.106,0.07,0.17,0.257,0.315,0.418
Neil Walker,0.024,0.123,0.084,0.174,0.275,0.341,0.429
Nelson Cruz,0.05,0.161,0.075,0.216,0.277,0.333,0.513
Nick Hundley,0.026,0.111,0.071,0.236,0.232,0.291,0.382
Nick Markakis,0.019,0.095,0.09,0.113,0.288,0.353,0.417
Nick Swisher,0.039,0.131,0.121,0.215,0.267,0.36,0.464
Omar Infante,0.017,0.09,0.047,0.108,0.297,0.33,0.417
Pablo Sandoval,0.029,0.13,0.078,0.134,0.286,0.341,0.456
Paul Konerko,0.045,0.144,0.104,0.149,0.289,0.366,0.486
Pedro Alvarez,0.047,0.145,0.091,0.306,0.231,0.303,0.423
Placido Polanco,0.007,0.077,0.061,0.078,0.273,0.323,0.339
Prince Fielder,0.045,0.149,0.136,0.158,0.288,0.398,0.506
Rajai Davis,0.011,0.085,0.052,0.18,0.26,0.304,0.37
Ramon Santiago,0.01,0.072,0.077,0.143,0.238,0.307,0.317
Raul Ibanez,0.039,0.138,0.083,0.193,0.251,0.313,0.451
Rickie Weeks Jr.,0.034,0.093,0.102,0.241,0.244,0.338,0.422
Robinson Cano,0.042,0.155,0.08,0.129,0.312,0.373,0.533
Roger Bernadina,0.021,0.084,0.078,0.213,0.24,0.308,0.362
Ruben Tejada,0.001,0.063,0.075,0.134,0.247,0.314,0.307
Russell Martin,0.032,0.107,0.113,0.184,0.231,0.327,0.38
Ryan Braun,0.048,0.162,0.094,0.178,0.313,0.381,0.548
Ryan Doumit,0.03,0.117,0.076,0.177,0.269,0.33,0.435
Ryan Hanigan,0.013,0.098,0.121,0.099,0.26,0.358,0.346
Ryan Howard,0.048,0.172,0.093,0.29,0.254,0.328,0.47
Ryan Raburn,0.035,0.134,0.07,0.245,0.245,0.305,0.426
Ryan Sweeney,0.008,0.09,0.08,0.157,0.271,0.329,0.386
Ryan Zimmerman,0.038,0.133,0.098,0.18,0.288,0.358,0.474
Sean Rodriguez,0.02,0.095,0.075,0.236,0.233,0.308,0.366
Seth Smith,0.03,0.114,0.096,0.198,0.256,0.331,0.441
Shane Victorino,0.025,0.101,0.076,0.123,0.272,0.339,0.439
Shin-Soo Choo,0.028,0.103,0.123,0.202,0.282,0.385,0.444
Skip Schumaker,0.006,0.087,0.079,0.141,0.272,0.333,0.347
Starlin Castro,0.014,0.088,0.05,0.151,0.284,0.324,0.404
Stephen Drew,0.022,0.111,0.101,0.215,0.252,0.328,0.411
Todd Helton,0.026,0.121,0.123,0.172,0.261,0.351,0.414
Torii Hunter,0.031,0.137,0.074,0.19,0.29,0.347,0.452
Travis Hafner,0.036,0.128,0.109,0.215,0.247,0.346,0.429
Troy Tulowitzki,0.049,0.167,0.098,0.134,0.304,0.376,0.535
Vernon Wells,0.041,0.123,0.061,0.147,0.239,0.285,0.42
Will Venable,0.029,0.105,0.08,0.235,0.256,0.32,0.429
Yadier Molina,0.025,0.132,0.07,0.096,0.3,0.353,0.446
Yunel Escobar,0.014,0.081,0.09,0.115,0.264,0.335,0.36
Yuniesky Betancourt,0.027,0.126,0.035,0.125,0.238,0.264,0.385
